idx	name	unmapped	call_count	categories	first_line	first_context
0	SIZE	Y	2	var-assign	432	fVar37 = (float)FUN_1400a5d20(local_508,0);
1	ASPECT	Y	2	var-assign	438	fVar34 = (float)FUN_1400a5d20(local_508,1);
2	SKINNY	Y	1	var-assign	436	fVar33 = (float)FUN_1400a5d20(local_508,2);
3	BONES	Y	1	var-assign	414	fVar33 = (float)FUN_1400a5d20(local_508,3);
4	BONES2	Y	1	var-assign	420	fVar34 = (float)FUN_1400a5d20(local_508,4);
5	CHEST_BIG		2	var-assign	430	fVar36 = (float)FUN_1400a5d20(local_508,5);
6	CHEST_SMALL	Y	2	var-assign	428	fVar33 = (float)FUN_1400a5d20(local_508,6);
7	GIANT_DWARF		1	var-assign	426	fVar35 = (float)FUN_1400a5d20(local_508,7);
8	MUSCLE_USE		3	var-assign	784	fVar37 = (float)FUN_1400a5d20(local_508,8);
9	QUADRUPED		1	var-assign	446	iVar15 = FUN_1400a5e00(local_508,9);
10	BIPED	Y	1	var-assign	450	local_31c = FUN_1400a5e00(local_508,10);
11	SPLAY		3	var-assign	1592	fVar35 = (float)FUN_1400a5d20(local_508,0xb);
12	LEG_IN		2	var-assign	1578	fVar35 = (float)FUN_1400a5d20(local_508,0xc);
13	LEG_IN2		2	var-assign	1574	fVar39 = (float)FUN_1400a5d20(local_508,0xd);
14	GUT		1	var-assign	578	fVar39 = (float)FUN_1400a5d20(local_508,0xe);
15	GUT_IS_UDDER		1	var-assign	582	fVar39 = (float)FUN_1400a5e00(local_508,0xf);
16	OSTODERM		1	var-assign	586	fVar39 = (float)FUN_1400a5e00(local_508,0x10);
17	OSTO_SIZE		1	var-assign	590	fVar39 = (float)FUN_1400a5d20(local_508,0x11);
18	DERRIERE		1	var-assign	602	fVar40 = (float)FUN_1400a5d20(local_508,0x12);
19	SPEED_FACTOR		3	other,var-assign	808	fVar39 = (float)FUN_1400a5d20(local_508,0x13);
20	BREAK_FORCE		2	var-assign	1620	fVar35 = (float)FUN_1400a5d20(local_508,0x14);
21	TAIL_TAG		1	var-assign	1430	fVar38 = (float)FUN_1400a5e00(local_508,0x15);
22	TAIL_EXISTS		1	var-assign	658	fVar37 = (float)FUN_1400a5e00(local_508,0x16);
23	TAIL_SIZE		1	var-assign	662	fVar39 = (float)FUN_1400a5d20(local_508,0x17);
